"","p53_mock_1","p53_mock_2","p53_mock_3","p53_mock_4","p53_IR_1","p53_IR_2","p53_IR_3","p53_IR_4","null_mock_1","null_mock_2","null_IR_1","null_IR_2"
" Gm10722",4.02373279714058,4.39493360235086,6.37742022394121,6.40355327990684,13.2903741385724,14.8036668950584,3.75975590771016,11.1104283397336,7.17368268947021,6.69784313020061,2.89076199826572,8.51280390534893
" Gm10721",5.18099601353863,6.46623751480927,7.32481207828363,7.93255279831879,15.1245431758346,16.6928020635697,6.30380635279223,12.4199343153648,8.39869619673214,8.29034164109022,5.84616879593402,10.0141550710217
" Gm10717",5.86358911008051,6.65545883433112,7.63952308177048,8.07281660737177,14.8952198980592,16.3367692885516,6.32849656854065,12.8214865413079,8.7706969267659,8.50373246979459,4.23307175725383,9.9527010268988
" Gm10718",6.7711469634539,8.03710530749273,8.45866237789633,9.23128428268121,15.8656192333379,17.3327741546932,6.5753931828755,13.617614889672,9.78451852552923,9.44953806085402,5.56307257168487,10.924642493596
" Gm10719",5.89522971063412,7.88942732503578,8.72496889346018,9.20916003345942,16.0171200650235,17.470442733324,7.65628876896141,13.9173266014111,9.8718949747054,9.48698642931586,6.42624626752047,10.991319719193
" Gm10720",3.09065444256484,3.64605409929272,4.97067094502326,6.57692149790934,12.7046373517404,14.0912022634085,4.76459305691809,10.4257638889839,7.07755160102033,6.73389179184121,3.09685121527128,8.06407762980173
" Gm10715",2.85354303222512,4.39493360235086,5.01493679371932,4.63155968917987,11.8015773771095,13.3559147921182,2,9.67100588828954,5.31017852093023,5.46843395493849,2.65024692605558,6.6673170364669
" Tex15",4.02373279714058,4.10146660393616,4.2951364534124,3.41306644423298,10.8969801821375,11.0814498499729,12.1561100228334,11.8556332627218,3.89314644966412,3.34040099177954,7.71518034573302,6.75687350973237
" Rps12",13.5432217063564,12.1631712295676,13.1413723516039,10.7364923962501,15.3965848007449,15.1126782108119,14.2026795385407,14.9911580695942,2.25566857649159,12.4322770595954,13.8006502472282,14.9557555345757
" Gm11518",11.420887819122,10.9034049996529,11.1105128772508,10.6644078924877,2,8.55637562240588,2,11.7614043910486,10.60136224721,11.1066539065438,12.5328776344203,9.44887536640924
" Plb1",2.97696451424939,3.55392544435125,3.56267082665322,3.71662247087037,10.0379701456638,10.2045824938875,10.9807507260526,10.7465853612588,3.4568061503298,3.20997032269746,3.27714683584393,3.69491197914412
" Gm6863",10.1000783555293,9.83847784871687,10.0487063353402,10.0270644130946,5.46693747415011,2,2,11.7069391234252,10.281801268356,10.4864859357643,11.5596631030576,6.41559356623135
" Gm14303",2,2,2.3152766839435,2,2,2,2,11.2736770712306,2,8.76991367823062,8.611825319661,2
" 1700007K13Rik",2,2.25533751461478,2,2,8.52123375970055,8.36281486561471,9.51070109426577,9.67775123774502,2,2,2,2
"ENSMUSG00000095280",3.38618520986921,5.19090369290179,6.29005715573923,6.52576150434649,12.9735534871566,14.4077718203094,4.96685665660034,10.7304553753151,6.98342435641722,6.32504580087092,4.31789953200216,7.74643730570853
" Grhl3",2.71856672412886,2.25533751461478,2.79306415809995,2.87303589045875,9.25296026255008,9.38290983161458,9.3021464130966,9.49632364063397,2,2.7282813686393,2,2.26713493452986
" Plk2",6.5404830915597,6.72047323186939,7.20573608361334,7.17518211097074,13.0946079248053,13.3535713236138,13.7799328159742,13.7709746424441,6.88272455692454,7.20545715957621,7.06427486729544,5.67785812059933
" Gm12715",4.83444647168756,4.10146660393616,4.67208711964832,2,11.7508348332245,11.6072643704725,5.65433537557606,11.1770083053547,4.39658575581646,4.91965355129879,4.86072541505023,7.17755486392448
" Ddx3y",5.83123899079862,5.76393968362399,5.75025951535761,6.23859796062608,6.53145835161536,6.05295435808988,6.06022998766081,12.2160931062757,12.0858412574142,11.6535865212302,12.8729066155561,12.3519639431657
