"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000061311",-3.85959943126806,5.21308940367188,-10.4451171430979,6.50300489849587e-06,0.000105495731908919,4.36189030703045
"ENSMUSG00000052221",3.85950630794239,4.43055778996276,10.4766539480522,6.35852215533973e-06,0.000103674189808968,4.3858772794472
"ENSMUSG00000082016",-3.80178605206894,3.90089302603447,-11.0493148217029,4.27102727777092e-06,7.92628585316403e-05,4.80983981975319
"ENSMUSG00000028008",3.78506584353206,4.39333755775759,8.10892950580294,4.14761810619543e-05,0.000370651210721719,2.36989774422905
"ENSMUSG00000038670",3.78144437753591,9.14085064797733,12.0349516229846,2.24378094853571e-06,5.20567790304438e-05,5.49169546388849
"ENSMUSG00000020326",3.77438821096881,13.44870496223,21.7907247253905,2.30076994530623e-08,4.3984411516943e-06,10.1064924435331
"ENSMUSG00000007783",3.76580412260577,4.74205248495491,12.4838070279233,1.70010910234481e-06,4.37025795677972e-05,5.78391237289572
"ENSMUSG00000042349",3.75317020085543,11.9889814888916,23.6309103177162,1.219759669637e-08,3.54516190614238e-06,10.6959953531264
"ENSMUSG00000038011",3.7523579194374,5.22995398194952,7.82740197254659,5.33808118498991e-05,0.000444828919590059,2.09706822443843
"ENSMUSG00000013629",3.70564074126102,12.4158084533391,22.4023847041119,1.85282687172014e-08,4.29900661721711e-06,10.309449775594
"ENSMUSG00000026817",3.66953789722247,4.98263244788728,11.4375254985054,3.29495737033692e-06,6.73816332648496e-05,5.08530725497558
"ENSMUSG00000022996",3.66415023483202,5.8753421287692,11.0596093782021,4.24129923988726e-06,7.9140101348087e-05,4.81726578367706
"ENSMUSG00000106350",3.663909476966,5.74948347817154,10.1457679452141,8.07319504126548e-06,0.000123957936418354,4.1307354749941
"ENSMUSG00000002799",3.64615792191077,6.69192291598485,10.6070896766715,5.79789392490144e-06,9.66033518192824e-05,4.48436342417919
"ENSMUSG00000030609",3.64428430943213,11.8978577939114,26.1958885133767,5.43458435614226e-09,3.37033413884355e-06,11.4220401478485
"ENSMUSG00000026649",3.63906831789731,7.30612182273297,14.1730362550932,6.45676300467637e-07,2.60093606211905e-05,6.79396385039701
"ENSMUSG00000057886",-3.61719424286471,5.06153119522145,-3.87872815097135,0.00475612612839063,0.0140812588530995,-2.74705419098861
"ENSMUSG00000022098",3.61582713355132,6.8855385751676,12.9772867271853,1.26612475677778e-06,3.64303459429169e-05,6.09305109727107
"ENSMUSG00000048644",3.6142615645933,5.31559126365186,10.1245281331697,8.19977304266883e-06,0.000125339387937938,4.11409167917304
"ENSMUSG00000048188",3.60991343471533,4.72595709476972,3.97211462127363,0.00417363790358187,0.0127260326265935,-2.60803907763345
"ENSMUSG00000027556",-3.5972587248457,6.17707692203194,-6.41216339137723,0.000213687425756989,0.00126369367369283,0.594588884194709
